FullName,Age,Gender,EmailAddress,Salary,StartDate,Department
Norma Fisher,,fEmale,ysullivan@yahoo.com,9.5e4,2025-06-07,operations
Colleen Taylor,28.0,M,montgomeryjohn@mcgrath.com, ,2021-02-14,eng.
Brian Hamilton,50.0,male,hramos@brown-sellers.com, ,2021-13-01,Marketing
Sa6antha Coo9,34.0,,leeashley@gmail.com,9.5e4,06-12-2017,ENG
Willie Golden,51.0,male,turnerkelly@gmail.com,,2021-13-01,HR
Robert Payne,48.0,M,zdavis@yahoo.com, ,2019-08-17,hr
collin lopez,,fEmale,rjones@gmail..com, ,19-01-2018,ENG
Tammy Fernandez,,M,aimee33@hotmail.com,9.5e4,2021-13-01,h.r
Matthew Davies,42.0,male,nguyendarrell@hotmail.com,,2018/09/29,Hr
,37.0,F,marvincabrera@gmail.com,,32-01-2020,Engineering
madison zuniga,34.0,,martinezjacob@wilson.com,185602.56,16-02-2016,eng.
Cathy Martinez,45.0,male,gilesandrew@oliver-huff.com,58567.38,2016/09/24,hr
Christopher Gordon,23.0,M,lyonspeter@howard-dennis.org,,22-05-2018,Hr
,,fEmale,carlsonscott@gmail..com,46300.59,,prdct
Shelly Lowery,56.0,F,qmonroe@gmail.com,194647.82,,hr
Gabriella Williams,,F,johnbenton@@yahoo.com,,,Product
Jasmine Perry,,F,wheelerholly@allen..info, ,2025/03/04,Marketing
Shane Bradley,60.0,F,seangreen@griffin.net,159757.74,05-07-2015,Operations
Ryan Williams,,fEmale,amymccarty@gmail.com,9.5e4,23-09-2017,prdct
Jennifer Smith,22.0,fEmale,bairdemma@davis..com,9.5e4,2021-13-01,Operations
Thomas Burton,,Male,robin14@valdez.com,9.5e4,2018/02/18,MKT
Amanda H8rris,,F,stacey90@hotmail.com,9.5e4,,ENG
,48.0,,taylorjoseph@yahoo.com,,02-10-2021, engineering 
amanda nelson,22.0,F,michael82@wilson-cross.com,,2021-13-01,Engineering
Elizabeth Houston,,F,jrodriguez@yahoo.com, ,2021/03/29,prdct
brian jimenez,,male,matthew22@cunningham.com,98752.24,2018-11-16,Operations
,37.0,FEMALE,shane79@hotmail.com,9.5e4,2021-13-01, engineering 
William Green,,FEMALE,hlee@short.com,,32-01-2020,product
james clark,,fEmale,cindygarcia@gray-payne.com,,15-04-2017,Marketing
Margare1 Hen8erson,47.0,male,martha73@hotmail.com, ,32-01-2020,HR
nicole flores,,,warrennancy@hotmail.com,9.5e4,2025-06-04,HR
Michael Ruiz,59.0,Male,jonesdavid@@smith-anthony.com, ,29-03-2018,Operations
kathy santana,,M,gregorylinda@mooney.com,,32-01-2020,Marketing
Karen Gibbs,34.0,male,melissayates@hotmail.com,,2020-08-26,Engineering
Dawn Jones,,M,kendra66@gmail.com,9.5e4,17-04-2018,ENG
Ronald Brown,22.0,F,fbutler@love.com,122879.74,,product 
Anthony Ruiz,,,johnsonchristina@nguyen.com,9.5e4,2021-13-01,operations
Lisa Mcdonald,28.0,male,montesjennifer@yahoo.com,93443.94,32-01-2020,product 
Shelia Becker,25.0,,benjaminmyers@sherman-gibson.com,9.5e4,32-01-2020,marketing
,50.0,Male,claytonweiss@chan..com,140794.61,,MKT
