OrderID,CustomerName,Email,FlowerType,Quantity,PricePerStem,OrderDate,DeliveryDate,Review,Rating,DeliveryStatus,PaymentStatus
A5632,rebecca rodriguez,ichristian@example.com,Roses,9,$3.32,2025-04-21,2025-04-19,Nice 🌹! nice!!,,Pending,paid
A5299,anthony barron,carlostrujillo@example.com,orchid,11,$0.66,2025-03-20,2025-03-18,Nice 🌹! nice!!,★★★,Pending,unpaid
A2911,amy smith,francisaaron@example.com,Tulips,12,$1.97,2025-05-13,2025-05-13,,4 stars,In Transit,Paid
A1930,thomas white,nicole50@example.org,rose,16,$1.71,2025-03-20,2025-03-22,Bad packaging 😠,3,In Transit,Unpaid
A4834,nathan mendez,hubbardclaudia@example.net,lilies,9,$0.64,2025-02-05,2025-02-10,excellent service,,Delivered,paid
A7969,michael smith,jeffrey39@example.com,lilies,9,$3.57,2025-03-08,,Nice 🌹! nice!!,⭐⭐⭐⭐⭐,In Transit,unpaid
A4924,brittany munoz,wilsonstephen@example.com,orchid,ten,$0.97,2025-01-14,2025-01-18,excellent service,⭐⭐⭐⭐,Pending,Unpaid
A7815,courtney duffy,andrea69@example.org,Tulips,5,$1.73,2025-01-12,2025-01-10,Awesome!!!,★★★,deliverd,Unpaid
A6769,leslie ray,hannahperez@example.com,Roses,4,$4.51,2025-02-02,2025-02-01,Late delivery,2,pending,PAID
A1209,tonya reeves,dmartinez@example.com,sun flower,14,$1.29,2025-04-06,2025-04-09,Will buy again,⭐⭐⭐⭐,pending,PAID
A2431,isaiah bowman,smithryan@example.net,roses,7,$4.88,2025-04-11,2025-04-11,Nice 🌹! nice!!,⭐⭐⭐⭐,pending,unpaid
A6335,anna martinez,janelittle@example.net,Tulips,17,$0.74,2025-03-03,2025-03-05,"on time, good flowers",,deliverd,Paid
A5124,stephen heath,michellegarcia@example.org,Sunflowers,1,"1,07",2025-05-21,2025-05-25,"on time, good flowers",⭐⭐⭐⭐,in transit,unpaid
A9102,eric mosley,hallen@example.net,lilies,18,$2.80,2025-05-30,,Will buy again,★,deliverd,paid
A7548,jared mullins,shelly90@example.net,Roses,6,$2.87,2025-03-18,2025-03-20,Great!,★,deliverd,Paid
A5496,karl martin,xsmith@gmail,Sunflowers,9,$2.31,2025-03-12,,Awesome!!!,1,In Transit,Unpaid
A4913,rebecca pena,porterpeter@example.com,sun flower,9,$2.10,2025-02-26,2025-03-02,,3,In Transit,paid
A9601, KATHY MILLER ,brooke29@example.net,rose,9,$4.24,2025-05-13,2025-05-15,Awesome!!!,★,Pending,unpaid
A3257,michael day,ibecker@example.net,tulips,19,"3,13",2025-02-28,2025-03-01,Awesome!!!,★,Pending,PAID
A7973,dana pineda,mia19@example.com,rose,14,$4.57,2025-03-15,2025-03-14,Awesome!!!,2,in transit,Paid
A7504,justin mata,mayjamie@example.com,lilies,19,$2.25,2025-02-10,2025-02-11,excellent service,,pending,paid
A6812,jose jones,dunnamy@example.net,Lilies,19,$3.21,2025-04-04,2025-04-07,Will buy again,2,In Transit,Unpaid
A5451,anthony lucas,ruizsusan@example.com,Tulips,18,"1,69",2025-02-18,,Bad packaging 😠,3,Delivered,paid
A7682,ann shelton,krobinson@example.org,Sunflowers,20,$1.88,2025-04-06,2025-04-08,Will buy again,,Pending,Paid
A6401,shawn sanders,melinda01@example.org,orchid,13,$3.49,2025-05-14,2025-05-13,excellent service,★★★,In Transit,Paid
A1737,sonya long,tinaschwartz@example.net,Tulips,ten,$2.57,2025-01-16,2025-01-20,excellent service,3,pending,PAID
A9512,cassandra morgan,clarkrobert@example.net,roses,11,$2.86,2025-03-23,2025-03-27,Nice 🌹! nice!!,,in transit,Paid
A2038,samuel christensen,bondlori@example.org,Orchids,12,$2.96,2025-01-20,2025-01-22,Nice 🌹! nice!!,★★★,Pending,PAID
A3387,eric santana,lisa92@example.com,orchid,10,$3.96,2025-04-16,2025-04-19,Will buy again,,In Transit,PAID
A5145,steven delacruz,foxdaniel@example.org,Sunflowers,14,$3.89,2025-03-04,2025-03-03,"on time, good flowers",★★★,in transit,Unpaid
A6011,mary rodriguez,rhonda18@example.net,sun flower,8,$3.36,2025-01-11,,Bad packaging 😠,,in transit,PAID
A5315,william smith,sjimenez@example.net,Orchids,4,$4.55,2025-05-19,2025-05-22,Late delivery,⭐⭐⭐⭐⭐,in transit,payed
